title,content,href
"TechCrunch+ Roundup: FinOps for all, 15 investors who are taking pitches, Steve Blank on AI","August is one of the slowest months in venture capital, which is why now is such a good time for fundraising founders to ramp up their outreach.",https://techcrunch.com/2023/09/01/techcrunch-roundup-finops-for-all-15-investors-who-are-taking-pitches-steve-blank-on-ai/
How to buy an AI solution the right way: 7 questions new customers should consider,"Here's a high-level guide for evaluating an AI-based solution as a potential customer — an enterprise buyer scorecard, if you will.",https://techcrunch.com/2023/09/01/questions-for-enterprise-buyers-evaluating-generative-ai/
Magic Leap’s original headset will stop working at the end of 2024,"As a company, Magic Leap moved on from its first headset some time ago. Along with a new CEO came a major pivot. With the Magic Leap 2, the startup went all in on enterprise — a far safer and mo",https://techcrunch.com/2023/09/01/magic-leaps-original-headset-will-stop-working-at-the-end-of-2024/
"Kyle Vogt to discuss self-driving cars, AI, investing and more at TC Disrupt 2023","Cruise, the self-driving subsidiary of General Motors, has raised over $15 billion, employs more than 3,000 people and expanded its footprint across multiple cities within the U.S. It even has a prese",https://techcrunch.com/2023/09/01/kyle-vogt-to-discuss-self-driving-cars-ai-investing-and-more-at-tc-disrupt-2023/
E-commerce acquirer Benitago files for bankruptcy,The move comes after the New York-based company raised $380 million in equity and debt in the past two years.,https://techcrunch.com/2023/09/01/e-commerce-acquirer-benitago-files-for-bankruptcy/
Pitch Deck Teardown: Tanbii’s $1.5M pre-seed deck,"About a year ago, I tore down a pitch deck by Mi Terro, founded by Robert Luo. Guess who’s back with another company? Luo has raised $1.5 million for Tanbii from a Hong Kong family office. In ge",https://techcrunch.com/2023/09/01/sample-pre-seed-pitch-deck-tanbii/
Inalife’s digital legacy platform lets you preserve your family’s memories,"A new startup, Inalife, has created a digital legacy platform that aims to help families preserve their precious memories, create an interactive family tree and even record messages for other members",https://techcrunch.com/2023/09/01/inalifes-digital-legacy-platform-lets-your-preserve-your-familys-memories/
What’s the opposite of a lean startup?,"This is our Friday show, and we’re talking about the week’s biggest startup and tech news.",https://techcrunch.com/2023/09/01/whats-the-opposite-of-a-lean-startup/
Lidl recalls Paw Patrol snacks after website on packaging displayed porn,"Supermarket giant Lidl has issued a recall of Paw Patrol snacks after the website listed on the products’ packaging began displaying explicit content unsuitable for children. Lidl, which operate",https://techcrunch.com/2023/09/01/lidl-recalls-paw-patrol-snacks-after-website-on-packaging-displayed-porn/
"Korean internet giant Naver explores robotics, AI and autonomous driving","In July last year, Naver, maker of the search engine known as the “Google of South Korea,” opened its new second headquarters, Naver 1784. The building’s name refers to a year commo",https://techcrunch.com/2023/09/01/korean-internet-giant-naver-explores-robotics-ai-and-autonomous-driving/
How the FBI took down the notorious Qakbot botnet,"A global law enforcement operation this week took down and dismantled the notorious Qakbot botnet, touted as the largest U.S.-led financial and technical disruption of a botnet infrastructure. Qakbot",https://techcrunch.com/2023/09/01/fbi-qakbot-takedown-operation-duck-hunt/
Google pulls popular but controversial live video chat app Chamet from the Play Store,"Google has removed popular but controversial live video chat app Chamet from the Play Store. The company confirmed the move to TechCrunch, saying that the app violated its user-generated content (UGC)",https://techcrunch.com/2023/09/01/google-pulls-popular-but-controversial-live-video-chat-app-chamet-from-the-play-store/
How to pitch me: 15 investors talk about what they’re looking for in August 2023,“I suggest reaching out right before Labor Day to set up a meeting in September or wait and start your outreach altogether next month.”,https://techcrunch.com/2023/08/31/august-2023-how-to-pitch-15-early-stage-investors/
"Lawsuit alleges no due diligence in Amazon’s Project Kuiper launch contracts to Blue Origin, ULA","An institutional investor is suing Amazon and its board, including founder and executive chairman Jeff Bezos, over hefty launch contracts they awarded to Bezos’ space company, Blue Origin. The suit,",https://techcrunch.com/2023/08/31/lawsuit-alleges-no-due-diligence-in-amazons-project-kuiper-launch-contracts-to-blue-origin-ula/
"Fisker confirms Foxconn will build its $29,900 Pear EV, but questions remain","EV startup Fisker revealed more details about its $29,900 Pear electric urban lifestyle crossover vehicle Thursday at the company’s Product Vision Day. Included in that reveal was confirmation t",https://techcrunch.com/2023/08/31/fisker-confirms-foxconn-will-build-its-29900-pear-ev-but-questions-remain/
Biden offers $15.5B to boost battery and EV manufacturing,"The United States Department of Energy is dedicating $15.5 billion to support the transition to electric vehicles. As part of President Joe Biden’s Investing in America agenda, most of the money",https://techcrunch.com/2023/08/31/biden-offers-15-5b-to-boost-battery-and-ev-manufacturing/
Robotics sales decline for second straight quarter amid economic woes,"Sooner or later, the numbers were going to contract. Broadly speaking, the pandemic has been a gamechanger for automation broadly and robotics specifically. But not even those categories are immune fr",https://techcrunch.com/2023/08/31/robotics-sales-decline-for-second-straight-quarter-amid-economic-woes/
Texas cannot yet enforce ID checks on porn sites,"A Texas judge issued an injunction today to stall the enforcement of an online age verification bill. The Free Speech Coalition, along with adult video sites like Pornhub, led the legal challenge agai",https://techcrunch.com/2023/08/31/texas-cannot-yet-enforce-id-checks-on-porn-sites/
"Grayscale wins lawsuit against SEC, while the agency settles first NFT case and Friend.tech hype crashes","If you’ve been dreaming about bitcoin spot ETFs, it’s time to talk to someone outside of the crypto world. This is coming from someone who literally had a dream about them this week.",https://techcrunch.com/2023/08/31/grayscale-wins-lawsuit-against-sec-while-the-agency-settles-first-nft-case-and-friend-tech-hype-crashes/
"Lowering costs nets Salesforce a profitable quarter, but can it keep it up?","Salesforce had a better quarter than expected, but it's reporting and forecasting those results based on prior work, to a real degree.",https://techcrunch.com/2023/08/31/salesforce-slowing-acquisitions-profitability-growth/
